Ns=27,np=1,,ns=25 ,np=3,,ns=24,np=4,,ns=20,np=8,,ns=18,np=10,,ns=16,np=12,,ns=14,np=14,,ns=11,np=17,,ns=9,np=21,,ns=6,np=22,,ns=3,np=25,,ns=0,np=28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V,I,,V,I,,V,I,,V,I,,V,I,,V,I,,V,I,,V,I,,V,I,,V,I,,V,I,,V,I
3.5,0.54,,3.5,0.58,,3.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.54,,4,0.58,,4,0.6,,4,0.67,,4,0.58,,4,0.56,,4,0.62,,4,0.59,,4,0.61,,4.5,0.64,,3.7,0.55,,1.65,0.25
5,0.54,,5,0.58,,5,0.59,,5,0.67,,5,0.58,,5,0.56,,5,0.62,,5,0.59,,5,0.61,,5,0.63,,3.9,0.53,,1.7,0.22
6,0.54,,6,0.57,,6,0.59,,6,0.66,,6,0.57,,6,0.55,,6,0.61,,6,0.58,,6,0.6,,5.5,0.62,,4.1,0.48,,1.75,0.19
7,0.53,,7,0.57,,7,0.59,,7,0.66,,7,0.57,,7,0.55,,7,0.6,,7,0.58,,7,0.59,,6,0.62,,4.3,0.44,,1.8,0.16
8,0.53,,8,0.56,,8,0.58,,8,0.65,,8,0.56,,8,0.54,,8,0.6,,8,0.58,,8,0.58,,6.5,0.61,,4.5,0.4,,1.85,0.14
9,0.53,,9,0.55,,9,0.58,,9,0.65,,9,0.56,,9,0.54,,9,0.59,,9,0.57,,9,0.56,,7,0.6,,4.7,0.36,,0.19,0.11
10,0.53,,10,0.55,,10,0.58,,10,0.64,,10,0.55,,10,0.53,,10,0.59,,10,0.57,,10,0.54,,7.5,0.59,,4.9,0.32,,1.95,0.08
11,0.52,,11,0.54,,11,0.57,,11,0.63,,11,0.55,,11,0.53,,11,0.58,,11,0.56,,11,0.52,,8,0.55,,5.1,0.28,,2,0.05
12,0.52,,12,0.54,,12,0.57,,12,0.63,,12,0.54,,12,0.52,,12,0.58,,12,0.55,,12,0.5,,8.5,0.51,,5.3,0.24,,2.05,0.03
13,0.52,,13,0.54,,13,0.57,,13,0.62,,13,0.54,,13,0.52,,13,0.57,,13,0.54,,13,0.48,,9,0.44,,5.5,0.2,,2.1,0
14,0.52,,14,0.54,,14,0.56,,14,0.61,,14,0.53,,14,0.51,,14,0.56,,14,0.52,,14,0.44,,9.5,0.38,,5.7,0.16,,,
15,0.52,,15,0.53,,15,0.56,,15,0.61,,15,0.53,,15,0.51,,15,0.55,,15,0.5,,15,0.36,,10,0.32,,5.9,0.12,,,
16,0.51,,16,0.53,,16,0.56,,16,0.6,,16,0.52,,16,0.5,,16,0.54,,16,0.48,,16,0.27,,10.5,0.26,,6.1,0.07,,,
17,0.51,,17,0.53,,17,0.55,,17,0.6,,17,0.52,,17,0.5,,17,0.52,,17,0.45,,17,0.18,,11,0.19,,6.3,0.03,,,
18,0.51,,18,0.53,,18,0.55,,18,0.59,,18,0.51,,18,0.49,,18,0.5,,18,0.39,,18,0.09,,11.5,0.13,,6.35,0.01,,,
19,0.51,,19,0.52,,19,0.54,,19,0.59,,19,0.51,,19,0.48,,19,0.48,,19,0.33,,19,0.01,,12,0.06,,,,,,
20,0.5,,20,0.52,,20,0.54,,20,0.58,,20,0.5,,20,0.48,,20,0.46,,20,0.27,,,,,12.5,0.01,,,,,,
21,0.5,,21,0.51,,21,0.53,,21,0.58,,21,0.5,,21,0.47,,21,0.44,,21,0.2,,,,,,,,,,,,
22,0.5,,22,0.51,,22,0.53,,22,0.57,,22,0.49,,22,0.47,,22,0.39,,22,0.12,,,,,,,,,,,,
23,0.5,,23,0.51,,23,0.52,,23,0.57,,23,0.48,,23,0.46,,23,0.34,,23,0.04,,,,,,,,,,,,
24,0.49,,24,0.5,,24,0.52,,24,0.56,,24,0.48,,24,0.43,,24,0.29,,23.5,0.01,,,,,,,,,,,,
25,0.49,,25,0.5,,25,0.51,,25,0.56,,25,0.47,,25,0.39,,25,0.23,,,,,,,,,,,,,,,
26,0.49,,26,0.49,,26,0.51,,26,0.55,,26,0.47,,26,0.35,,26,0.17,,,,,,,,,,,,,,,
27,0.49,,27,0.49,,27,0.51,,27,0.55,,27,0.45,,27,0.3,,27,0.11,,,,,,,,,,,,,,,
28,0.48,,28,0.48,,28,0.5,,28,0.54,,28,0.42,,28,0.26,,28,0.05,,,,,,,,,,,,,,,
29,0.48,,29,0.48,,29,0.5,,29,0.53,,29,0.38,,29,0.21,,29,0.01,,,,,,,,,,,,,,,
30,0.48,,30,0.47,,30,0.49,,30,0.5,,30,0.34,,30,0.16,,,,,,,,,,,,,,,,,,
31,0.47,,31,0.47,,31,0.49,,31,0.46,,31,0.3,,31,0.11,,,,,,,,,,,,,,,,,,
32,0.47,,32,0.46,,32,0.48,,32,0.41,,32,0.25,,32,0.06,,,,,,,,,,,,,,,,,,
33,0.47,,33,0.46,,33,0.48,,33,0.37,,33,0.2,,33,0.02,,,,,,,,,,,,,,,,,,
34,0.46,,34,0.46,,34,0.47,,34,0.33,,34,0.15,,,,,,,,,,,,,,,,,,,,,
35,0.46,,35,0.45,,35,0.45,,35,0.29,,35,0.11,,,,,,,,,,,,,,,,,,,,,
36,0.45,,36,0.45,,36,0.43,,36,0.24,,36,0.07,,,,,,,,,,,,,,,,,,,,,
37,0.45,,37,0.43,,37,0.41,,37,0.19,,37,0.03,,,,,,,,,,,,,,,,,,,,,
38,0.44,,38,0.41,,38,0.38,,38,0.14,,,,,,,,,,,,,,,,,,,,,,,,
39,0.44,,39,0.39,,39,0.35,,39,0.09,,,,,,,,,,,,,,,,,,,,,,,,
40,0.43,,40,0.37,,40,0.31,,40,0.05,,,,,,,,,,,,,,,,,,,,,,,,
41,0.41,,41,0.34,,41,0.28,,40.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,
42,0.4,,42,0.31,,42,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.39,,43,0.27,,43,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.36,,44,0.24,,44,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.35,,45,0.21,,45,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.3,,46,0.17,,46,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.27,,47,0.14,,47,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0.24,,48,0.11,,48,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0.2,,49,0.08,,48.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.17,,50,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
